,country,latitude,longitude,category
0,Algeria,27.48749999999962,-7.8291666666655,people_no_lights
1,Algeria,33.41249999999966,3.5541666666679106,people_no_lights
2,Algeria,33.47083333333299,4.445833333334583,people_no_lights
3,Algeria,33.95416666666633,3.2291666666679095,people_no_lights
4,Algeria,34.154166666666335,1.5458333333345635,people_no_lights
5,Argentina,-34.61250000000081,-60.06249999999919,people_no_lights
6,Argentina,-27.62916666666743,-55.86249999999916,people_no_lights
7,Argentina,-26.029166666667418,-58.64583333333251,people_no_lights
8,Argentina,-24.179166666667406,-64.67916666666589,people_no_lights
9,Burkina_Faso,11.162499999999504,0.8375000000012367,people_no_lights
10,Burkina_Faso,11.245833333332836,0.7125000000012358,people_no_lights
11,Burkina_Faso,11.537499999999506,-5.1874999999988045,people_no_lights
12,Burkina_Faso,11.545833333332839,-3.2624999999987914,people_no_lights
13,Burkina_Faso,11.954166666666175,-0.7708333333321074,people_no_lights
14,Cambodia,12.579166666666186,104.21250000000192,people_no_lights
15,Cambodia,13.270833333332858,103.08750000000192,people_no_lights
16,Cambodia,13.429166666666191,102.37083333333526,people_no_lights
17,Cambodia,13.470833333332859,104.21250000000192,people_no_lights
18,Cambodia,14.312499999999531,104.41250000000193,people_no_lights
19,Ghana,5.829166666666133,-0.9958333333321088,people_no_lights
20,Ghana,7.754166666666146,-0.9791666666654417,people_no_lights
21,Ghana,8.854166666666154,0.0625000000012319,people_no_lights
22,Guatemala,14.312499999999531,-91.04583333333272,people_no_lights
23,Guatemala,14.537499999999532,-91.4124999999994,people_no_lights
24,Guatemala,15.804166666666209,-91.31249999999939,people_no_lights
25,Guatemala,16.91249999999955,-89.92916666666605,people_no_lights
26,Haiti,18.420833333332894,-72.86249999999927,people_no_lights
27,Haiti,18.470833333332894,-72.62916666666594,people_no_lights
28,Haiti,19.095833333332898,-72.68749999999928,people_no_lights
29,Haiti,19.46249999999957,-72.66249999999927,people_no_lights
30,Haiti,19.704166666666236,-72.40416666666593,people_no_lights
31,Haiti,19.73749999999957,-72.20416666666593,people_no_lights
32,Indonesia,-4.75416666666727,139.42916666666883,people_no_lights
33,Indonesia,-3.679166666667264,138.67916666666883,people_no_lights
34,Indonesia,-3.6708333333339294,139.06250000000216,people_no_lights
35,Indonesia,2.520833333332779,99.67916666666855,people_no_lights
36,Ivory_Coast,4.904166666666135,-6.345833333332145,people_no_lights
37,Ivory_Coast,5.5208333333328055,-7.329166666665485,people_no_lights
38,Ivory_Coast,6.212499999999477,-7.487499999998819,people_no_lights
39,Ivory_Coast,6.995833333332816,-6.095833333332143,people_no_lights
40,Kenya,1.7458333333327714,40.06250000000153,people_no_lights
41,Kenya,2.804166666666112,40.937500000001535,people_no_lights
42,Kenya,3.387499999999449,40.22916666666819,people_no_lights
43,Kenya,3.429166666666116,39.87916666666819,people_no_lights
44,Kenya,3.9291666666661196,41.2291666666682,people_no_lights
45,Madagascar,-22.29583333333406,46.12083333333488,people_no_lights
46,Madagascar,-22.137500000000724,48.01250000000156,people_no_lights
47,Madagascar,-18.2625000000007,48.387500000001566,people_no_lights
48,Madagascar,-15.579166666667346,47.62083333333489,people_no_lights
49,Malawi,-16.579166666667344,35.11250000000148,people_no_lights
50,Malawi,-13.87083333333399,34.58750000000148,people_no_lights
51,Malawi,-9.704166666667296,33.2708333333348,people_no_lights
52,Mexico,16.75416666666621,-93.37083333333275,people_no_lights
53,Mexico,17.854166666666217,-93.15416666666609,people_no_lights
54,Mexico,18.770833333332888,-95.7541666666661,people_no_lights
55,Mexico,19.23749999999956,-104.57083333333283,people_no_lights
56,Mexico,19.66249999999956,-101.52916666666614,people_no_lights
57,Mexico,20.654166666666235,-87.92916666666605,people_no_lights
58,Mexico,28.845833333332962,-111.49583333333287,people_no_lights
59,Mozambique,-22.087500000000716,31.679166666668113,people_no_lights
60,Mozambique,-19.870833333334033,34.46250000000147,people_no_lights
61,Mozambique,-18.037500000000687,35.612500000001475,people_no_lights
62,Mozambique,-16.870833333334012,39.137500000001495,people_no_lights
63,Mozambique,-16.320833333334008,39.94583333333484,people_no_lights
64,Mozambique,-13.954166666667325,38.81250000000149,people_no_lights
65,Mozambique,-13.629166666667322,35.02916666666814,people_no_lights
66,Mozambique,-12.337500000000647,40.57916666666817,people_no_lights
67,Nigeria,4.52916666666613,6.404166666667951,people_no_lights
68,Nigeria,4.737499999999464,6.804166666667953,people_no_lights
69,Nigeria,4.962499999999466,6.112500000001282,people_no_lights
70,Nigeria,6.487499999999477,4.870833333334607,people_no_lights
71,Nigeria,7.55416666666615,6.212500000001283,people_no_lights
72,The_Philippines,6.995833333332811,126.07083333333543,people_no_lights
73,The_Philippines,8.029166666666152,123.93750000000207,people_no_lights
74,The_Philippines,11.92916666666618,125.01250000000208,people_no_lights
75,Puerto_Rico,18.22916666666623,-66.03749999999923,people_no_lights
76,Puerto_Rico,18.37916666666623,-66.18749999999923,people_no_lights
77,Rwanda,-2.620833333333926,29.745833333334772,people_no_lights
78,Rwanda,-2.3125000000005906,29.187500000001435,people_no_lights
79,Rwanda,-1.69583333333392,29.329166666668105,people_no_lights
80,Rwanda,-1.4791666666672518,29.629166666668105,people_no_lights
81,South_Africa,-30.537500000000776,29.445833333334782,people_no_lights
82,South_Africa,-29.895833333334107,30.25416666666812,people_no_lights
83,South_Africa,-29.820833333334107,30.63750000000146,people_no_lights
84,South_Africa,-28.870833333334097,31.9458333333348,people_no_lights
85,South_Africa,-28.662500000000765,32.0208333333348,people_no_lights
86,South_Africa,-28.612500000000765,29.920833333334784,people_no_lights
